"","scenario","ssb_below_blim_total","ssb_below_blim_iter","collapse_total","collapse_iter","fmaxed_total","fmaxed_iter","yield","rel_yield","stk_pos","stk_pos2","stock","fhist","catch_rule","TAC","options","uncertainty","perfect_knowledge","HCRmult","w","b_w","b_z","upper_constraint","lower_constraint"
"62",62,0.62988,1,0.48802,0.938,0.06182,0.938,33.3687828461917,0.148054285991631,11,11,"whg-7e-k","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"63",63,0.66272,1,0.5396,0.996,0.06982,0.996,15.4539615423986,0.0685678363651516,11,11,"whg-7e-k","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"64",64,0.63498,1,0.5127,0.942,0.06586,0.942,20.5378117548619,0.0911244221646406,11,11,"whg-7e-k","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"65",65,0.629,1,0.5428,1,0.0722,1,5.27386139235377,0.0232944730402502,11,11,"whg-7e-k","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"66",66,0.10414,1,0.0401,0.224,0.0056,0.216,58.1040424788962,0.2578024065814,11,11,"whg-7e-k","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"67",67,0.61722,1,0.18614,0.592,0.01196,0.54,24.8958827476937,0.449907321038035,12,12,"had-iris","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"68",68,0.99172,1,0.81468,0.996,0.04632,0.994,2.98853121119725,0.0540074069553877,12,12,"had-iris","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"69",69,0.64548,1,0.4753,0.746,0.03428,0.742,15.8672841136463,0.286746501823933,12,12,"had-iris","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"70",70,0.67786,1,0.62538,0.866,0.04184,0.864,10.7387912096743,0.194066658864665,12,12,"had-iris","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"71",71,0.4906,1,0.4376,0.56,0.0278,0.58,7.30524182153581,0.131243700391484,12,12,"had-iris","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"72",72,0.08252,1,0.003,0.022,2e-04,0.01,7.55858635317129,0.136595411034581,12,12,"had-iris","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"73",73,0.8801,1,0,0,0,0,52.2349080557569,0.704967641792634,13,13,"ang-78ab","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"74",74,0.99992,1,0.86466,1,0.05416,0.998,8.95711373107683,0.120886119633357,13,13,"ang-78ab","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"75",75,0.99996,1,0.94238,1,0.0548,1,6.25180950484037,0.0843750581289354,13,13,"ang-78ab","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"76",76,0.693,1,0.67448,0.72,0.0457,0.702,3.335703402048,0.0450189930180661,13,13,"ang-78ab","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"77",77,0.1042,1,0.0816,0.16,0.0068,0.12,0.68179521480178,0.00913535632787969,13,13,"ang-78ab","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"78",78,0.05966,1,0,0,0,0,16.4944294394449,0.222610500476586,13,13,"ang-78ab","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"79",79,0.82542,1,0.00266,0.004,1e-04,0.004,52.8419527524956,0.716952382175538,14,14,"ang-ivvi","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"80",80,0.99998,1,0.88396,1,0.0494,1,7.53933556933167,0.102292673054135,14,14,"ang-ivvi","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
